cif_id,model,n_atoms,n_local_subs,n_local_vacs,n_local_all,coord_mae_global_A,coord_mae_local_subs_A,coord_mae_local_vacs_A,coord_mae_local_all_A,notes
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,DPA3,135,4,9,13,0.293813,0.320119,0.087429,0.159025,picked=last-unconverged:P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc_unrelaxed
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,DPA3,135,4,8,12,0.275978,0.403330,0.658498,0.573442,picked=last-unconverged:P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62_unrelaxed
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,DPA3,135,4,8,12,0.384058,0.376063,0.730845,0.612584,picked=last-unconverged:P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4_unrelaxed
P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,DPA3,135,4,9,13,0.227548,0.128873,0.180138,0.164364,picked=last-unconverged:P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf_unrelaxed
P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170,DPA3,135,4,8,12,0.417255,0.324000,0.365509,0.351673,picked=last-unconverged:P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170_unrelaxed
P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5,DPA3,135,4,9,13,0.311822,0.225931,0.695831,0.551247,picked=last-unconverged:P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5_unrelaxed
P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb,DPA3,135,4,9,13,0.454801,0.465172,0.554983,0.527349,picked=converged:P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb_unrelaxed
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,DPA3,135,4,8,12,0.290220,0.271175,0.268920,0.269672,picked=converged:P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39_unrelaxed
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,DPA3,135,4,9,13,0.287882,0.237076,0.169979,0.190625,picked=converged:P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d_unrelaxed
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,DPA3,135,4,8,12,0.326070,0.406576,0.287741,0.327353,picked=converged:P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d_unrelaxed
P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef,DPA3,136,4,7,11,0.148603,0.158936,0.252712,0.218612,picked=converged:P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef_unrelaxed
P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2,DPA3,136,4,8,12,0.203292,0.186318,0.193543,0.191135,picked=converged:P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2_unrelaxed
P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe,DPA3,137,4,7,11,0.409131,0.400009,0.254473,0.307395,picked=last-unconverged:P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe_unrelaxed
P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988,DPA3,137,4,7,11,0.341772,0.445517,0.467222,0.459330,picked=last-unconverged:P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988_unrelaxed
P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,DPA3,138,4,6,10,0.395850,0.662901,0.318248,0.456109,picked=last-unconverged:P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c_unrelaxed
P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2,DPA3,139,4,5,9,0.213045,0.261311,0.090805,0.166586,picked=converged:P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2_unrelaxed
P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c,DPA3,136,2,6,8,0.409842,0.102244,0.574509,0.456443,picked=last-unconverged:P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c_unrelaxed
P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a,DPA3,137,3,7,10,0.392221,0.232733,0.119828,0.153700,picked=last-unconverged:P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a_unrelaxed
P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04,DPA3,137,3,7,10,0.263074,0.206451,0.304800,0.275295,picked=converged:P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04_unrelaxed
P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526,DPA3,137,3,7,10,0.279336,0.358409,0.206507,0.252077,picked=converged:P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526_unrelaxed
P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2,DPA3,138,4,6,10,0.130825,0.097830,0.083873,0.089456,picked=converged:P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2_unrelaxed
P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce,DPA3,138,4,6,10,0.298534,0.233837,0.468683,0.374745,picked=converged:P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce_unrelaxed
P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346,DPA3,139,4,5,9,0.173265,0.369112,0.084340,0.210905,picked=last-unconverged:P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346_unrelaxed
P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62,DPA3,140,4,4,8,0.301364,0.191250,0.238919,0.215084,picked=converged:P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62_unrelaxed
P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba,DPA3,141,4,3,7,0.169840,0.176480,0.115927,0.150529,picked=converged:P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba_unrelaxed
P_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee,DPA3,141,4,3,7,0.154014,0.086952,0.199152,0.135037,picked=converged:P_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee_unrelaxed
P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692,DPA3,142,4,2,6,0.275967,0.165947,0.352024,0.227973,picked=last-unconverged:P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692_unrelaxed
P_P134N8_77084258-796b-405c-8b5a-17d19cee3337,DPA3,142,4,2,6,0.214109,0.132339,0.218872,0.161184,picked=converged:P_P134N8_77084258-796b-405c-8b5a-17d19cee3337_unrelaxed
P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39,DPA3,143,4,1,5,0.164340,0.159110,0.131292,0.153546,picked=converged:P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39_unrelaxed
P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,DPA3,138,1,5,6,0.288859,0.159287,0.670434,0.585243,picked=converged:P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346_unrelaxed
P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4,DPA3,139,2,5,7,0.351396,0.171719,0.675520,0.531577,picked=last-unconverged:P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4_unrelaxed
P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792,DPA3,139,2,5,7,0.117594,0.095844,0.172388,0.150518,picked=last-unconverged:P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792_unrelaxed
P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541,DPA3,139,2,5,7,0.131306,0.063343,0.130173,0.111079,picked=converged:P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541_unrelaxed
P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c,DPA3,140,3,3,6,0.357673,0.301205,0.903878,0.602542,picked=last-unconverged:P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c_unrelaxed
P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df,DPA3,141,4,3,7,0.231023,0.111175,0.814345,0.412534,picked=converged:P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df_unrelaxed
P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c,DPA3,141,4,3,7,0.192711,0.200839,0.482504,0.321553,picked=converged:P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c_unrelaxed
P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67,DPA3,141,4,3,7,0.281678,0.173276,0.225106,0.195489,picked=converged:P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67_unrelaxed
