cif_id,model,n_atoms,n_local_subs,n_local_vacs,n_local_all,coord_mae_global_A,coord_mae_local_subs_A,coord_mae_local_vacs_A,coord_mae_local_all_A,notes
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,DPA3,135,4,9,13,0.211933,0.225711,0.240963,0.236270,picked=last-unconverged:P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc_unrelaxed
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,DPA3,135,4,8,12,0.241214,0.417656,0.581480,0.526872,picked=last-unconverged:P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62_unrelaxed
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,DPA3,135,4,8,12,0.364577,0.365527,0.729359,0.608082,picked=last-unconverged:P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4_unrelaxed
P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,DPA3,135,4,9,13,0.164895,0.087450,0.109707,0.102859,picked=last-unconverged:P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf_unrelaxed
P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170,DPA3,135,4,8,12,0.408346,0.353830,0.377872,0.369858,picked=last-unconverged:P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170_unrelaxed
P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5,DPA3,135,4,9,13,0.277335,0.136522,0.667586,0.504181,picked=last-unconverged:P_P126N9_f83295f4-ef27-40c7-a9f8-1ba8f32138c5_unrelaxed
P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb,DPA3,135,4,9,13,0.353844,0.430986,0.213109,0.280148,picked=converged:P_P130N5_215544be-bf9c-449d-8483-f0a975ef4feb_unrelaxed
P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,DPA3,135,4,8,12,0.274905,0.245841,0.279356,0.268185,picked=converged:P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39_unrelaxed
P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,DPA3,135,4,9,13,0.264689,0.175886,0.168046,0.170458,picked=converged:P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d_unrelaxed
P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d,DPA3,135,4,8,12,0.255602,0.191496,0.295859,0.261071,picked=converged:P_P130N5_8b8b7b1a-f34c-489d-88eb-451613270b3d_unrelaxed
P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef,DPA3,136,4,7,11,0.127806,0.117973,0.206740,0.174461,picked=converged:P_P130N6_ad4e8262-bfb5-49be-8679-a28ee4287eef_unrelaxed
P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2,DPA3,136,4,8,12,0.151775,0.160018,0.083527,0.109024,picked=converged:P_P130N6_ee74078f-bc7a-4330-a46a-c9964d4dabd2_unrelaxed
P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe,DPA3,137,4,7,11,0.378747,0.452337,0.182716,0.280760,picked=last-unconverged:P_P130N7_2dd91df6-6100-4305-adb3-79179704cffe_unrelaxed
P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988,DPA3,137,4,7,11,0.314138,0.435662,0.306220,0.353290,picked=last-unconverged:P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988_unrelaxed
P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,DPA3,138,4,6,10,0.354688,0.530096,0.186972,0.324221,picked=last-unconverged:P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c_unrelaxed
P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2,DPA3,139,4,5,9,0.158572,0.179200,0.035266,0.099237,picked=converged:P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2_unrelaxed
P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c,DPA3,136,2,6,8,0.370068,0.077225,0.571356,0.447823,picked=last-unconverged:P_P134N2_7d818b15-98d7-46a0-8001-037c616cfa2c_unrelaxed
P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a,DPA3,137,3,7,10,0.375973,0.198039,0.104294,0.132418,picked=last-unconverged:P_P134N3_0bbe3973-1534-431a-8cd6-f17dd0ee3b7a_unrelaxed
P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04,DPA3,137,3,7,10,0.161672,0.116848,0.260853,0.217651,picked=converged:P_P134N3_bdc16de1-0e53-494f-a5e7-3c84bce2ac04_unrelaxed
P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526,DPA3,137,3,7,10,0.259765,0.342128,0.207995,0.248235,picked=converged:P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526_unrelaxed
P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2,DPA3,138,4,6,10,0.116940,0.089728,0.066200,0.075611,picked=converged:P_P134N4_6e5f359b-6e75-4487-8517-24b248721bf2_unrelaxed
P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce,DPA3,138,4,6,10,0.281894,0.207007,0.443736,0.349044,picked=converged:P_P134N4_767a10da-c92d-4725-90de-c0a8f0de82ce_unrelaxed
P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346,DPA3,139,4,5,9,0.225647,0.290069,0.090456,0.179173,picked=last-unconverged:P_P134N5_2fb2dac9-625b-4a58-8d71-1ab73a779346_unrelaxed
P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62,DPA3,140,4,4,8,0.249370,0.158344,0.226096,0.192220,picked=converged:P_P134N6_830832b7-0dd2-4f20-b337-b06a84de9d62_unrelaxed
P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba,DPA3,141,4,3,7,0.064374,0.109863,0.078532,0.096436,picked=converged:P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba_unrelaxed
P_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee,DPA3,141,4,3,7,0.085328,0.063337,0.073583,0.067728,picked=converged:P_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee_unrelaxed
P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692,DPA3,142,4,2,6,0.165475,0.067411,0.227878,0.120900,picked=last-unconverged:P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692_unrelaxed
P_P134N8_77084258-796b-405c-8b5a-17d19cee3337,DPA3,142,4,2,6,0.152946,0.092853,0.174069,0.119925,picked=converged:P_P134N8_77084258-796b-405c-8b5a-17d19cee3337_unrelaxed
P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39,DPA3,143,4,1,5,0.123337,0.139985,0.068029,0.125594,picked=converged:P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39_unrelaxed
P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,DPA3,138,1,5,6,0.287644,0.175315,0.710432,0.621246,picked=converged:P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346_unrelaxed
