cif_id,model,n_atoms,n_local_subs,n_local_vacs,n_local_all,coord_mae_global_A,coord_mae_local_subs_A,coord_mae_local_vacs_A,coord_mae_local_all_A,notes
P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692,DPA3,142,4,2,6,0.281535,0.164336,0.346604,0.225092,picked=last-unconverged:P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692_unrelaxed
P_P134N8_77084258-796b-405c-8b5a-17d19cee3337,DPA3,142,4,2,6,0.232225,0.168441,0.218438,0.185106,picked=converged:P_P134N8_77084258-796b-405c-8b5a-17d19cee3337_unrelaxed
P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39,DPA3,143,4,1,5,0.162250,0.160850,0.117621,0.152204,picked=converged:P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39_unrelaxed
P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,DPA3,138,1,5,6,0.309234,0.194504,0.712896,0.626497,picked=converged:P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346_unrelaxed
P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4,DPA3,139,2,5,7,0.334220,0.140964,0.887703,0.674349,picked=last-unconverged:P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4_unrelaxed
P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792,DPA3,139,2,5,7,0.271103,0.207455,0.224868,0.219893,picked=last-unconverged:P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792_unrelaxed
P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541,DPA3,139,2,5,7,0.098027,0.075909,0.107614,0.098556,picked=converged:P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541_unrelaxed
P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c,DPA3,140,3,3,6,0.357840,0.299442,0.905730,0.602586,picked=last-unconverged:P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c_unrelaxed
P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df,DPA3,141,4,3,7,0.228318,0.102281,0.820885,0.410254,picked=converged:P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df_unrelaxed
P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c,DPA3,141,4,3,7,0.212054,0.223140,0.507704,0.345096,picked=converged:P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c_unrelaxed
P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67,DPA3,141,4,3,7,0.303255,0.176647,0.169236,0.173471,picked=converged:P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67_unrelaxed
P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a,DPA3,141,4,3,7,0.193995,0.091068,0.160800,0.120953,picked=converged:P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a_unrelaxed
P_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0,DPA3,142,4,2,6,0.111102,0.190354,0.100369,0.160359,picked=converged:P_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0_unrelaxed
P_P137N6_539a3b77-1177-49f8-920e-888a9e3efee1,DPA3,143,4,1,5,0.100350,0.064247,0.167546,0.084907,picked=converged:P_P137N6_539a3b77-1177-49f8-920e-888a9e3efee1_unrelaxed
P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b,DPA3,142,1,2,3,0.080763,0.122708,0.056987,0.078894,picked=converged:P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b_unrelaxed
P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa,DPA3,142,1,2,3,0.027448,0.003583,0.026921,0.019142,picked=converged:P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa_unrelaxed
P_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b,DPA3,142,1,2,3,0.060013,0.045092,0.052069,0.049743,picked=converged:P_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b_unrelaxed
P_P141N2_1129b1b9-35c9-487c-8451-3ba62e8a4a28,DPA3,143,2,1,3,0.201330,0.203893,0.146078,0.184622,picked=converged:P_P141N2_1129b1b9-35c9-487c-8451-3ba62e8a4a28_unrelaxed
P_P141N2_55cbbf86-9018-4610-8abd-8dc6ba7cfb25,DPA3,143,2,1,3,0.028213,0.025251,0.029852,0.026785,picked=converged:P_P141N2_55cbbf86-9018-4610-8abd-8dc6ba7cfb25_unrelaxed
P_P141N2_bbde927d-2e5a-42ea-894b-640c5eb8fe1d,DPA3,143,2,1,3,0.046416,0.048757,0.042627,0.046713,picked=converged:P_P141N2_bbde927d-2e5a-42ea-894b-640c5eb8fe1d_unrelaxed
P_P141N3_0cb3f035-4edc-490f-8308-24a5eea2a82f,DPA3,144,3,0,3,0.053952,0.061856,,0.061856,picked=converged:P_P141N3_0cb3f035-4edc-490f-8308-24a5eea2a82f_unrelaxed
P_P141N3_36cf2937-a12b-44cc-8666-c2b40897a308,DPA3,144,3,0,3,0.049166,0.046741,,0.046741,picked=converged:P_P141N3_36cf2937-a12b-44cc-8666-c2b40897a308_unrelaxed
P_P141N3_9d5b58ce-71cd-4d2d-94e6-30695815819b,DPA3,144,3,0,3,0.139580,0.124502,,0.124502,picked=converged:P_P141N3_9d5b58ce-71cd-4d2d-94e6-30695815819b_unrelaxed
P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806,DPA3,141,0,3,3,0.043263,,0.031583,0.031583,picked=converged:P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806_unrelaxed
