cif_id,sysname,model,n_atoms,E_model_on_RDFT_eV,E_DFT_eV,energy_abs_err_meV_per_atom,force_mae_mag_eVA,force_rmse_mag_eVA,force_cos_alignment,force_mae_percomp_eVA
P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,BP_spin_500_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346_DFTfinal,DPA3-OMAT,138,-733.504002465529,-733.92677702,3.0635837280511704,0.037733262777149223,0.04446822824831923,-0.05337330767318307,0.018572445178985507
P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4,BP_spin_500_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4_DFTfinal,DPA3-OMAT,139,-742.419452620705,-742.74681807,2.3551471172304317,0.04471447344275615,0.05220318839848841,0.47658738243909426,0.02215739506714628
P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792,BP_spin_500_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792_DFTfinal,DPA3-OMAT,139,-743.422342093696,-743.80180714,2.7299643618997305,0.03701362454715165,0.041777217056777095,0.08299101100036615,0.01852885571438849
P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541,BP_spin_500_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541_DFTfinal,DPA3-OMAT,139,-742.006469724735,-741.85006429,1.1252189549281049,0.034649664031918236,0.03874877300499143,0.06688041912179904,0.01756701442973621
P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c,BP_spin_500_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c_DFTfinal,DPA3-OMAT,140,-751.047784355876,-751.81077359,5.449923100885761,0.05331975217891417,0.0696693221310914,0.08691482399929454,0.02653673874285714
P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df,BP_spin_500_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df_DFTfinal,DPA3-OMAT,141,-760.100761585717,-760.44040929,2.4088489665463713,0.041480556969171974,0.06014849788538362,0.05832227461851267,0.021210248758865246
P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c,BP_spin_500_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c_DFTfinal,DPA3-OMAT,141,-759.767432701622,-760.18464751,2.958970272183935,0.041672951218865426,0.05974724717933449,-0.03907003545520301,0.020476521926713946
P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67,BP_spin_500_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67_DFTfinal,DPA3-OMAT,141,-760.030666802858,-760.27846914,1.7574633839853475,0.03365801619171873,0.04120960586457919,0.017442194967322418,0.016743714283687944
P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a,BP_spin_500_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a_DFTfinal,DPA3-OMAT,141,-759.80874793682,-760.07300376,1.8741547743258953,0.03656013015147286,0.04655139421126826,0.12056820092654053,0.01851819305271868
P_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0,BP_spin_500_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0_DFTfinal,DPA3-OMAT,142,-768.846913166565,-769.56217796,5.037076010105914,0.036046916967177,0.04764020419717252,-0.002083923305001071,0.018535954936150234
P_P137N6_539a3b77-1177-49f8-920e-888a9e3efee1,BP_spin_500_P137N6_539a3b77-1177-49f8-920e-888a9e3efee1_DFTfinal,DPA3-OMAT,143,-778.231340333481,-778.75193484,3.640521024608715,0.025678854191159586,0.0301830687394568,0.019786387989817033,0.013058957972960372
