cif_id,sysname,model,n_atoms,E_model_on_RDFT_eV,E_DFT_eV,energy_abs_err_meV_per_atom,force_mae_mag_eVA,force_rmse_mag_eVA,force_cos_alignment,force_mae_percomp_eVA
P_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba,BP_spin_500_P134N7_618fa7fd-b549-4eda-a5a2-2091f6fae7ba_DFTfinal,MACE-OMAT,141,-767.273584034026,-768.11628177,5.976579687758558,0.025639380863233703,0.03649543560536372,0.06226197789374523,0.01276201409929078
P_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee,BP_spin_500_P134N7_e6d8503d-2d3e-4f27-a8a3-d4c9252f50ee_DFTfinal,MACE-OMAT,141,-767.133818137733,-767.30946277,1.2457066118226556,0.01961155244314668,0.022832356837048193,0.06245230817994193,0.00982679485167849
P_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692,BP_spin_500_P134N8_1940fe06-4315-4639-b6ea-12f7b20b6692_DFTfinal,MACE-OMAT,142,-774.260990130643,-774.65398141,2.7675442208241816,0.03780554580522725,0.05300648747874005,0.2643879048357869,0.01907294312686385
P_P134N8_77084258-796b-405c-8b5a-17d19cee3337,BP_spin_500_P134N8_77084258-796b-405c-8b5a-17d19cee3337_DFTfinal,MACE-OMAT,142,-775.411093322347,-775.81406828,2.8378518144576526,0.017609239021234666,0.019450715638232204,0.167558651133787,0.00877899620657277
P_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39,BP_spin_500_P134N9_c82f4875-98fb-49f1-ab04-283575a00f39_DFTfinal,MACE-OMAT,143,-783.569158968006,-784.03191005,3.2360215524050973,0.03646394618358626,0.061352067406894584,-0.01547166085779296,0.018397108852447552
P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,BP_spin_500_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346_DFTfinal,MACE-OMAT,138,-734.304192578275,-733.92677702,2.734895349818458,0.017471411112544143,0.020417826709364977,0.07325869637345601,0.00861096862700483
P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4,BP_spin_500_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4_DFTfinal,MACE-OMAT,139,-743.135412246013,-742.74681807,2.795641554049855,0.02954044128538774,0.03606379148046982,0.6895737673929393,0.014574856142685853
P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792,BP_spin_500_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792_DFTfinal,MACE-OMAT,139,-743.880294614826,-743.80180714,0.564658092272805,0.02014443606943807,0.02347913082371762,0.0909360889129386,0.010095485287290169
P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541,BP_spin_500_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541_DFTfinal,MACE-OMAT,139,-742.736011647213,-741.85006429,6.373721994338221,0.01703810681962048,0.01934053994515483,0.1411690875097573,0.008318195734148682
P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c,BP_spin_500_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c_DFTfinal,MACE-OMAT,140,-751.518002552452,-751.81077359,2.0912216967717865,0.03737688916050772,0.04910709728438479,0.13603580608316004,0.019063771012619045
